Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:14:43.629754+00:00,_result,58,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.629754+00:00,network_metrics,3758096635,MDNS,3232235674,38.2,495.66,0.0,410.65,0.0,0,1.03,443.0,443.0,786.03,0.04,0.0,0.0052338445105668,
2024-12-07 04:15:15.837464+00:00,_result,59,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.837464+00:00,network_metrics,3758096635,MDNS,3232235690,45.9,65.47,0.0,64.42,0.05,0,1.74,443.0,443.0,111.02,1.06,0.0,0.0042652552926525,
2024-12-07 04:14:43.658583+00:00,_result,60,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.658583+00:00,network_metrics,3758096635,MDNS,3232235697,38.2,149.17,0.0,67.31,0.0,0,1.03,443.0,443.0,196.76,0.04,0.0,0.0052338445105668,
2024-12-07 04:15:15.919300+00:00,_result,60,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.919300+00:00,network_metrics,3758096635,MDNS,3232235697,45.9,100.95,0.0,,0.01,0,0.0,443.0,443.0,100.95,0.11,1.0,0.0042652552926525,
2024-12-07 04:15:16.102004+00:00,_result,61,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.102004+00:00,network_metrics,3758096635,MDNS,3232235708,45.9,43.81,0.0,85.91,0.01,0,18.53,443.0,443.0,13.48,7.1,0.0,0.0042652552926525,
2024-12-07 04:15:16.186038+00:00,_result,62,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.186038+00:00,network_metrics,3758096635,MDNS,3232235725,45.9,68.22,0.0,78.53,0.01,0,19.56,443.0,443.0,149.2,4.43,1.0,0.0042652552926525,
2024-12-07 04:15:16.351285+00:00,_result,63,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.351285+00:00,network_metrics,3758096635,MDNS,3232235729,45.9,192.83,0.0,37.72,0.01,0,1.02,443.0,443.0,219.51,0.17,0.0,0.0042652552926525,
2024-12-07 04:14:43.722075+00:00,_result,64,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.722075+00:00,network_metrics,3758096635,MDNS,3232235739,38.2,114.08,0.0,111.87,0.01,0,10.96,443.0,443.0,102.59,0.33,0.0,0.0052338445105668,
2024-12-07 04:15:16.397098+00:00,_result,64,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.397098+00:00,network_metrics,3758096635,MDNS,3232235739,45.9,38.86,0.0,60.5,0.05,0,9.63,443.0,443.0,108.57,1.19,0.0,0.0042652552926525,
2024-12-07 04:14:43.859827+00:00,_result,65,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.859827+00:00,network_metrics,3758096635,MDNS,3232235751,38.2,32.4,0.0,124.82,0.0,0,26.01,443.0,443.0,0.0,2.46,0.0,0.0052338445105668,
